LightBlue2 178 223 238
Yellow2 238 238 0
LightSalmon2 238 149 114
LightSalmon4 139 87 66
grey7 181 181 181
Khaki4 139 134 78
PaleVioletRed 219 112 147
Wheat 245 222 179
Cyan2 0 238 238
Cornsilk3 205 200 177
SlateBlue2 122 103 238
LightSalmon3 205 129 98
LightSalmon 255 160 122
PeachPuff2 238 203 173
Cornsilk4 139 136 120
LightCyan2 209 238 238
Tomato4 139 54 38
LemonChiffon3 205 201 165
LightGoldenrod2 238 220 130
Turquoise4 0 134 139
NavyBlue 0 0 128
Orange 255 165 0
Maroon3 205 41 144
CornflowerBlue 100 149 237
Gold3 205 173 0
LtGoldenrodYello 250 250 210
Chartreuse 127 255 0
SteelBlue3 79 148 205
Orange4 139 90 0
Cornsilk 255 248 220
LemonChiffon2 238 233 191
YellowGreen 154 205 50
Brown3 205 51 51
SteelBlue2 92 172 238
Seashell3 205 197 191
IndianRed 205 92 92
HotPink2 238 106 167
grey1 28 28 28
MistyRose 255 228 225
DarkSlateBlue 72 61 139
MediumPurple2 159 121 238
RosyBrown2 238 180 180
Burlywood3 205 170 125
Salmon3 205 112 84
Brown 165 42 42
LawnGreen 124 252 0
RoyalBlue2 67 110 238
PaleVioletRed3 205 104 137
SlateBlue4 71 60 139
Thistle3 205 181 205
LightSkyBlue4 96 123 139
Coral2 238 106 80
Purple3 125 38 205
Goldenrod3 205 155 29
Pink2 238 169 184
grey5 130 130 130
Gainsboro 220 220 220
Orchid4 139 71 137
Linen 250 240 230
OliveDrab3 154 205 50
GreenYellow 173 255 47
PeachPuff4 139 119 101
DarkSalmon 233 150 122
Aquamarine2 118 238 198
HotPink 255 105 180
Coral4 139 62 47
LightGoldenrod4 139 129 76
LightGreen 144 238 144
Pink 255 192 203
grey2 54 54 54
Beige 245 245 220
Azure3 193 205 205
Goldenrod2 238 180 34
Goldenrod 255 193 37
AliceBlue 240 248 255
Green 0 255 0
ForestGreen 34 139 34
OrangeRed4 139 37 0
Purple4 85 26 139
LimeGreen 50 205 50
LightGoldenrod 238 221 130
Turquoise 64 224 208
LightSlateGray 119 136 153
LightCyan4 122 139 139
NavajoWhite2 238 207 161
Chartreuse4 69 139 0
Chocolate4 139 69 19
Bisque4 139 125 107
Blue3 0 0 205
Snow4 139 137 137
MistyRose4 139 125 123
Cornsilk2 238 232 205
