大 0x8 0x8 0x7f 0x8 0x14 0x22 0x41 
中 0x8 0x8 0x7f 0x49 0x7f 0x8 0x8  
小 0x8 0x8 0x2a 0x49 0x49 0x8 0x18
央 0x8 0x8 0x3e 0x2a 0x7f 0x14 0x63
土 0x8 0x8 0x3e 0x8 0x8 0x8 0x7f
木 0x8 0x8 0x7f 0x1c 0x2a 0x49 0x8
一 0x0 0x0 0x0  0x7f 0x0 0x0 0x0   
二 0x0 0x3e 0x0 0x0 0x0 0x7f 0x0
三 0x3e 0x0 0x0 0x3e 0x0 0x0 0x7f
四 0x7f 0x55 0x55 0x55 0x63 0x41 0x7f
五 0x3e 0x8 0x8 0x3e 0xa 0xa 0x7f
六 0x8 0x8 0x7f 0x0 0x14 0x22 0x41
七 0x10 0x10 0x7f 0x10 0x10 0x10 0x1e
八 0x0 0x14 0x14 0x14 0x22 0x41 0x0
九 0x10 0x10 0x7c 0x14 0x14 0x25 0x47
十 0x8 0x8 0x8 0x7f 0x8 0x8 0x8 
百 0x7f 0x10 0x3e 0x22 0x3e 0x22 0x3e
